CRONOGRAMA I4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INICIO;03/17/26
Desglose;;TAREAS;RECURSOS;;;;SEMANAS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;SEMANA 1;;;;SEMANA 2;;;;;SEMANA 3;;;;;SEMANA 4;;;;;;;;;;
;;;R1;R2;R3;R4;6/m;7/m;8/a;9/a;13/m;14/m;15/m;16/m;17/m;20/m;21/m;22/m;23/m;24/m;27/m;28/m;29/m;30/m;31/m;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
